"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.12.2016","20,7275","20,6100","20,7997","20,5850","0,55%"
"18.12.2016","20,6135","20,4475","20,8440","20,3600","0,87%"
"11.12.2016","20,4365","20,3725","20,6957","20,1395","0,21%"
"04.12.2016","20,3938","20,6270","20,7450","20,2200","-1,13%"
"27.11.2016","20,6275","20,6795","20,8925","20,4545","-0,31%"
"20.11.2016","20,6915","20,6390","20,8107","20,2880","0,27%"
"13.11.2016","20,6350","20,6110","21,1023","20,1135","-0,46%"
"06.11.2016","20,7303","18,7198","21,4150","18,1672","8,97%"
"30.10.2016","19,0230","18,9550","19,5500","18,7752","0,29%"
"23.10.2016","18,9685","18,6093","19,1097","18,4785","2,04%"
"16.10.2016","18,5888","18,9900","19,0540","18,4450","-2,22%"
"09.10.2016","19,0100","18,9920","19,1050","18,7850","-1,47%"
"02.10.2016","19,2943","19,3722","19,4225","19,1600","-0,47%"
"25.09.2016","19,3850","19,7850","19,9300","19,3000","-2,05%"
"18.09.2016","19,7900","19,6125","19,9200","19,4660","0,96%"
"11.09.2016","19,6020","18,8845","19,7812","18,8000","3,65%"
"04.09.2016","18,9120","18,5645","18,9255","18,2530","1,79%"
"28.08.2016","18,5800","18,5682","18,9400","18,5300","-0,12%"
"21.08.2016","18,6015","18,2365","18,6322","18,1578","2,10%"
"14.08.2016","18,2184","18,2397","18,4102","17,8977","-0,23%"
"07.08.2016","18,2612","18,7682","18,7792","18,1274","-2,64%"
"31.07.2016","18,7572","18,7499","19,0050","18,6508","0,03%"
"24.07.2016","18,7525","18,5360","18,9820","18,5110","1,11%"
"17.07.2016","18,5475","18,5625","18,6952","18,3497","-0,39%"
"10.07.2016","18,6197","18,4967","18,6260","18,2040","0,63%"
"03.07.2016","18,5038","18,3593","18,9501","18,3132","0,81%"
"26.06.2016","18,3553","18,9322","19,2572","18,1120","-3,04%"
"19.06.2016","18,9310","18,8378","19,5281","18,1162","0,47%"
"12.06.2016","18,8425","18,6295","19,0950","18,6050","1,14%"
"05.06.2016","18,6300","18,6046","18,7515","18,0740","0,20%"
"29.05.2016","18,5925","18,4625","18,7352","18,3843","0,74%"
"22.05.2016","18,4562","18,3525","18,5900","18,3135","0,62%"
"15.05.2016","18,3420","18,1880","18,6080","18,0883","0,96%"
"08.05.2016","18,1668","17,8726","18,2280","17,8387","1,60%"
"01.05.2016","17,8813","17,1845","18,1670","17,1115","4,11%"
"24.04.2016","17,1750","17,4202","17,6350","17,0457","-1,73%"
"17.04.2016","17,4777","17,5437","17,7610","17,1950","-0,48%"
"10.04.2016","17,5624","17,7765","17,8355","17,3185","-1,20%"
"03.04.2016","17,7750","17,3324","17,9602","17,3020","2,57%"
"27.03.2016","17,3300","17,5737","17,6029","17,1025","-1,18%"
"20.03.2016","17,5376","17,3865","17,7027","17,3047","0,84%"
"13.03.2016","17,3923","17,6862","17,9910","17,2233","-1,72%"
"06.03.2016","17,6964","17,7628","17,9526","17,6139","-0,36%"
"28.02.2016","17,7600","18,2849","18,3236","17,7357","-2,83%"
"21.02.2016","18,2766","18,2308","18,3720","17,9800","0,28%"
"14.02.2016","18,2250","18,9172","18,9755","17,9570","-3,62%"
"07.02.2016","18,9100","18,4488","19,4502","18,3695","2,52%"
"31.01.2016","18,4448","18,1050","18,6102","18,0114","1,85%"
"24.01.2016","18,1100","18,4458","18,6892","18,1085","-1,76%"
"17.01.2016","18,4350","18,2649","18,8043","18,0420","0,95%"
"10.01.2016","18,2620","17,9229","18,3297","17,7245","1,82%"
"03.01.2016","17,9350","17,2114","17,9772","17,1927","4,39%"
"27.12.2015","17,1800","17,2318","17,4237","17,1600","-0,29%"
"20.12.2015","17,2300","17,1300","17,3267","17,0322","0,50%"
"13.12.2015","17,1450","17,3250","17,4701","16,8930","-1,42%"
"06.12.2015","17,3920","16,6584","17,4371","16,6574","4,42%"
"29.11.2015","16,6559","16,6358","16,7774","16,4713","0,19%"
"22.11.2015","16,6246","16,5204","16,6322","16,4366","0,55%"
"15.11.2015","16,5335","16,6827","16,8398","16,4555","-0,89%"
"08.11.2015","16,6828","16,8275","16,9210","16,6484","-0,70%"
"01.11.2015","16,8003","16,5049","16,8854","16,3562","1,82%"
"25.10.2015","16,5000","16,5917","16,6997","16,4265","-0,56%"
"18.10.2015","16,5937","16,4179","16,7101","16,3544","1,02%"
"11.10.2015","16,4268","16,4258","16,6617","16,3215","-0,03%"
"04.10.2015","16,4320","16,7748","16,8469","16,3713","-1,96%"
"27.09.2015","16,7597","16,9594","17,1462","16,7168","-1,25%"
"20.09.2015","16,9725","16,6365","17,3484","16,5603","1,92%"
